Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
4,47,Dahomey,H,2,4,10,0,14,N
4,47,Dahomey,L,3,10,14,0,24,N
4,47,Dahomey,H,4,20,20,0,40,N
4,48,Dahomey,L,1,22,24,0,46,N
4,48,Dahomey,H,2,10,22,0,32,N
4,48,Dahomey,L,3,9,15,0,24,N
4,48,Dahomey,H,4,26,20,0,46,N
4,49,Sweden,H,1,13,16,0,29,N
4,49,Sweden,L,2,16,13,0,29,N
4,49,Sweden,H,3,16,14,0,30,N
4,49,Sweden,L,4,0,0,0,0,Y
4,50,Sweden,H,1,17,14,0,31,N
4,50,Sweden,L,2,7,12,0,19,N
4,50,Sweden,H,3,6,10,0,16,N
4,50,Sweden,L,4,0,0,0,0,Y
4,51,Sweden,H,1,15,15,0,30,N
4,51,Sweden,L,2,6,4,0,10,N
4,51,Sweden,H,3,20,17,0,37,N
4,51,Sweden,L,4,19,15,1,35,N
4,52,Sweden,L,1,22,16,0,38,N
4,52,Sweden,H,2,10,13,0,23,N
4,52,Sweden,L,3,17,21,0,38,N
4,52,Sweden,H,4,19,13,0,32,N
4,53,Sweden,L,1,13,18,0,31,N
4,53,Sweden,H,2,10,8,0,18,N
4,53,Sweden,L,3,6,18,0,24,N
4,53,Sweden,H,4,4,5,0,9,N
4,54,Sweden,L,1,13,15,4,32,N
4,54,Sweden,H,2,14,20,0,34,N
4,54,Sweden,L,3,20,15,0,35,N
4,54,Sweden,H,4,23,31,0,54,N
4,55,Israel,H,1,19,16,0,35,N
4,55,Israel,L,2,9,7,0,16,N
4,55,Israel,H,3,14,19,1,34,N
4,55,Israel,L,4,25,25,0,50,N
4,56,Israel,H,1,8,7,0,15,N
4,56,Israel,L,2,7,9,0,16,N
4,56,Israel,H,3,9,8,0,17,N
4,56,Israel,L,4,1,0,1,2,Y
4,57,Israel,L,1,18,15,0,33,N
4,57,Israel,H,2,14,15,0,29,N
4,57,Israel,L,3,11,14,0,25,N
4,57,Israel,H,4,26,20,0,46,N
4,58,Israel,L,1,24,12,1,37,N
4,58,Israel,H,2,17,15,0,32,N
4,58,Israel,L,3,19,12,0,31,N
4,58,Israel,H,4,29,31,1,61,N
4,59,Brownsville,H,1,13,17,0,30,N
4,59,Brownsville,L,2,6,14,0,20,N
4,59,Brownsville,H,3,13,23,0,36,N
4,59,Brownsville,L,4,24,16,0,40,N
4,60,Brownsville,H,1,15,11,0,26,N
4,60,Brownsville,L,2,3,10,0,13,N
4,60,Brownsville,H,3,12,14,0,26,N
4,60,Brownsville,L,4,13,25,0,38,N
4,61,Brownsville,L,1,16,18,0,34,N
4,61,Brownsville,H,2,7,8,0,15,N
4,61,Brownsville,L,3,9,4,0,13,N
4,61,Brownsville,H,4,21,18,0,39,N
4,62,Brownsville,L,1,10,16,0,26,N
4,62,Brownsville,H,2,9,10,0,19,N
4,62,Brownsville,L,3,0,0,0,0,Y
4,62,Brownsville,H,4,0,0,0,0,Y
4,63,Barcelona,H,1,18,13,0,31,N
4,63,Barcelona,L,2,16,9,0,25,N
4,63,Barcelona,H,3,24,24,0,48,N
4,63,Barcelona,L,4,20,23,0,43,N
4,64,Barcelona,H,1,12,13,0,25,N
4,64,Barcelona,L,2,7,8,0,15,N
4,64,Barcelona,H,3,11,10,0,21,N
4,64,Barcelona,L,4,14,30,0,44,N
4,65,Barcelona,L,1,14,11,0,25,N
4,65,Barcelona,H,2,11,7,1,19,N
4,65,Barcelona,L,3,24,16,0,40,N
4,65,Barcelona,H,4,29,15,1,45,N
4,66,Barcelona,L,1,25,19,0,44,N
4,66,Barcelona,H,2,13,9,1,23,N
4,66,Barcelona,L,3,22,19,0,41,N
4,66,Barcelona,H,4,35,31,0,66,N
5,67,Dahomey,L,1,17,17,0,34,N
5,67,Dahomey,H,2,12,19,0,31,N
5,67,Dahomey,L,3,30,27,0,57,N
5,67,Dahomey,H,4,37,19,2,58,N
5,68,Dahomey,L,1,19,20,0,39,N
5,68,Dahomey,H,2,23,17,0,40,N
5,68,Dahomey,L,3,20,23,0,43,N
5,68,Dahomey,H,4,9,20,0,29,N
5,69,Dahomey,L,1,19,15,5,39,N
5,69,Dahomey,H,2,20,14,0,34,N
5,69,Dahomey,L,3,27,26,0,53,N
5,69,Dahomey,H,4,13,18,0,31,N
5,70,Dahomey,H,1,13,17,0,30,N
5,70,Dahomey,L,2,3,1,0,4,N
5,70,Dahomey,H,3,10,9,1,20,N
5,70,Dahomey,L,4,0,0,0,0,Y
5,71,Dahomey,H,1,21,18,1,40,N
5,71,Dahomey,L,2,9,6,1,16,N
5,71,Dahomey,H,3,0,0,0,0,Y
5,71,Dahomey,L,4,0,0,0,0,Y
5,72,Dahomey,H,1,7,14,0,21,N
5,72,Dahomey,L,2,18,16,0,34,N
5,72,Dahomey,H,3,28,26,0,54,N
5,72,Dahomey,L,4,12,8,0,20,N
5,73,Sweden,L,1,11,13,1,25,N
5,73,Sweden,H,2,23,30,0,53,N
5,73,Sweden,L,3,24,31,0,55,N
5,73,Sweden,H,4,20,12,0,32,N
5,74,Sweden,L,1,10,6,0,16,N
5,74,Sweden,H,2,23,31,0,54,N
5,74,Sweden,L,3,0,0,0,0,Y
5,74,Sweden,H,4,0,0,0,0,Y
5,75,Sweden,L,1,16,20,1,37,N
5,75,Sweden,H,2,21,27,0,48,N
5,75,Sweden,L,3,26,19,0,45,N
5,75,Sweden,H,4,19,18,0,37,N
5,76,Sweden,H,1,11,17,0,28,N
5,76,Sweden,L,2,26,13,0,39,N
5,76,Sweden,H,3,17,17,0,34,N
5,76,Sweden,L,4,12,19,0,31,N
5,77,Sweden,H,1,8,10,0,18,N
5,77,Sweden,L,2,24,29,1,54,N
5,77,Sweden,H,3,25,27,0,52,N
5,77,Sweden,L,4,14,16,0,30,N
5,78,Sweden,H,1,12,20,1,33,N
5,78,Sweden,L,2,13,11,0,24,N
5,78,Sweden,H,3,32,25,1,58,N
5,78,Sweden,L,4,0,0,0,0,Y
5,79,Israel,L,1,27,26,0,53,N
5,79,Israel,H,2,16,14,0,30,N
5,79,Israel,L,3,0,0,0,0,Y
5,79,Israel,H,4,0,0,0,0,Y
5,80,Israel,L,1,9,5,0,14,N
5,80,Israel,H,2,6,5,0,11,N
5,80,Israel,L,3,7,8,0,15,N
5,80,Israel,H,4,8,13,0,21,N
5,81,Israel,L,1,7,15,0,22,N
5,81,Israel,H,2,12,15,0,27,N
5,81,Israel,L,3,21,17,0,38,N
5,81,Israel,H,4,8,10,0,18,N
5,82,Israel,H,1,9,7,0,16,N
5,82,Israel,L,2,4,3,0,7,N
5,82,Israel,H,3,1,5,0,6,N
5,82,Israel,L,4,3,11,0,14,N
5,83,Israel,H,1,15,23,0,38,N
5,83,Israel,L,2,7,12,0,19,N
5,83,Israel,H,3,24,29,0,53,N
5,83,Israel,L,4,31,29,0,60,N
5,84,Israel,H,1,12,16,0,28,N
5,84,Israel,L,2,NA,NA,NA,NA,NA
5,84,Israel,H,3,NA,NA,NA,NA,NA
5,84,Israel,L,4,NA,NA,NA,NA,NA
5,85,Brownsville,L,1,17,15,1,33,N
5,85,Brownsville,H,2,9,18,0,27,N
5,85,Brownsville,L,3,26,26,0,52,N
5,85,Brownsville,H,4,5,9,0,14,N
5,86,Brownsville,L,1,15,15,0,30,N
5,86,Brownsville,H,2,13,27,0,40,N
5,86,Brownsville,L,3,30,32,0,62,N
5,86,Brownsville,H,4,13,11,0,24,N
5,87,Brownsville,L,1,17,18,0,35,N
5,87,Brownsville,H,2,17,16,0,33,N
5,87,Brownsville,L,3,15,25,0,40,N
5,87,Brownsville,H,4,13,9,0,22,N
5,88,Brownsville,H,1,10,17,0,27,N
5,88,Brownsville,L,2,11,9,0,20,N
5,88,Brownsville,H,3,14,23,0,37,N
5,88,Brownsville,L,4,3,5,0,8,N
5,89,Brownsville,H,1,11,15,1,27,N
5,89,Brownsville,L,2,19,10,0,29,N
5,89,Brownsville,H,3,17,19,1,37,N
5,89,Brownsville,L,4,13,12,0,25,N
5,90,Brownsville,H,1,20,18,1,39,N
5,90,Brownsville,L,2,25,11,0,36,N
5,90,Brownsville,H,3,13,17,1,31,N
5,90,Brownsville,L,4,0,0,0,0,N
5,91,Barcelona,L,1,17,5,1,23,N
5,91,Barcelona,H,2,7,18,0,25,N
5,91,Barcelona,L,3,5,2,0,7,N
5,91,Barcelona,H,4,4,3,0,7,N
5,92,Barcelona,L,1,22,22,0,44,N
5,92,Barcelona,H,2,2,5,0,7,Y
5,92,Barcelona,L,3,0,0,0,0,Y
5,92,Barcelona,H,4,0,0,0,0,Y
5,93,Barcelona,L,1,14,14,0,28,N
5,93,Barcelona,H,2,13,26,0,39,N
5,93,Barcelona,L,3,15,25,0,40,N
5,93,Barcelona,H,4,22,23,0,45,N
5,94,Barcelona,H,1,15,28,0,43,N
5,94,Barcelona,L,2,16,16,0,32,N
5,94,Barcelona,H,3,24,30,0,54,N
5,94,Barcelona,L,4,0,0,0,0,Y
5,95,Barcelona,H,1,21,18,1,40,N
5,95,Barcelona,L,2,19,19,0,38,N
5,95,Barcelona,H,3,26,26,0,52,N
5,95,Barcelona,L,4,16,17,1,34,N
5,96,Barcelona,H,1,18,22,2,42,N
5,96,Barcelona,L,2,12,17,2,31,N
5,96,Barcelona,H,3,21,23,0,44,N
5,96,Barcelona,L,4,23,25,0,48,N
6,97,Dahomey,H,1,10,12,0,22,N
6,97,Dahomey,L,2,9,15,0,24,N
6,97,Dahomey,H,3,17,22,0,39,N
6,97,Dahomey,L,4,2,8,0,10,N
6,98,Dahomey,H,1,5,10,1,16,N
6,98,Dahomey,L,2,1,5,0,6,N
6,98,Dahomey,H,3,0,0,0,0,N
6,98,Dahomey,L,4,0,0,0,0,Y
6,99,Dahomey,L,1,6,9,0,15,N
6,99,Dahomey,H,2,6,8,0,14,N
6,99,Dahomey,L,3,8,8,0,16,N
6,99,Dahomey,H,4,2,4,0,6,N
6,100,Dahomey,L,1,8,9,0,17,N
6,100,Dahomey,H,2,14,9,1,24,N
6,100,Dahomey,L,3,14,12,0,26,N
6,100,Dahomey,H,4,2,6,0,8,N
6,101,Sweden,H,1,21,17,1,39,N
6,101,Sweden,L,2,30,24,0,54,N
6,101,Sweden,H,3,21,27,0,48,N
6,101,Sweden,L,4,17,23,0,40,N
6,102,Sweden,H,1,12,16,0,28,N
6,102,Sweden,L,2,17,18,1,36,N
6,102,Sweden,H,3,19,20,1,40,N
6,102,Sweden,L,4,2,2,0,4,N
6,103,Sweden,L,1,11,10,1,22,N
6,103,Sweden,H,2,3,5,1,9,N
6,103,Sweden,L,3,5,4,0,9,N
6,103,Sweden,H,4,0,0,0,0,N
6,104,Sweden,L,1,16,23,2,41,N
6,104,Sweden,H,2,10,10,0,20,N
6,104,Sweden,L,3,0,1,0,1,Y
6,104,Sweden,H,4,0,0,0,0,Y
6,105,Israel,H,1,16,17,0,33,N
6,105,Israel,L,2,23,18,0,41,N
6,105,Israel,H,3,10,27,0,37,N
6,105,Israel,L,4,5,4,0,9,N
6,106,Israel,H,1,17,19,0,36,N
6,106,Israel,L,2,11,8,0,19,N
6,106,Israel,H,3,22,15,0,37,N
6,106,Israel,L,4,9,8,0,17,N
6,107,Israel,L,1,14,14,0,28,N
6,107,Israel,H,2,8,12,0,20,N
6,107,Israel,L,3,16,18,0,34,N
6,107,Israel,H,4,11,18,0,29,N
6,108,Israel,L,1,24,29,0,53,N
6,108,Israel,H,2,21,14,1,36,N
6,108,Israel,L,3,16,30,0,46,N
6,108,Israel,H,4,19,18,0,37,N
6,109,Brownsville,H,1,15,19,0,34,N
6,109,Brownsville,L,2,15,15,0,30,N
6,109,Brownsville,H,3,22,31,0,53,N
6,109,Brownsville,L,4,17,17,0,34,N
6,110,Brownsville,H,1,14,7,0,21,N
6,110,Brownsville,L,2,8,9,0,17,N
6,110,Brownsville,H,3,13,5,0,18,N
6,110,Brownsville,L,4,7,8,0,15,N
6,111,Brownsville,L,1,4,11,1,16,N
6,111,Brownsville,H,2,14,7,0,21,N
6,111,Brownsville,L,3,10,14,0,24,N
6,111,Brownsville,H,4,19,26,0,45,N
6,112,Brownsville,L,1,9,17,1,27,N
6,112,Brownsville,H,2,8,15,1,24,N
6,112,Brownsville,L,3,8,16,0,24,N
6,112,Brownsville,H,4,9,9,0,18,N
6,113,Barcelona,H,1,13,17,2,32,N
6,113,Barcelona,L,2,15,14,1,30,N
6,113,Barcelona,H,3,12,30,0,42,N
6,113,Barcelona,L,4,0,0,0,0,Y
6,114,Barcelona,H,1,9,13,0,22,N
6,114,Barcelona,L,2,10,5,0,15,N
6,114,Barcelona,H,3,12,10,0,22,N
6,114,Barcelona,L,4,10,11,0,21,N
6,115,Barcelona,L,1,8,10,0,18,N
6,115,Barcelona,H,2,7,6,0,13,N
6,115,Barcelona,L,3,1,1,0,2,N
6,115,Barcelona,H,4,0,0,0,0,Y
6,116,Barcelona,L,1,6,4,2,12,N
6,116,Barcelona,H,2,8,6,1,15,N
6,116,Barcelona,L,3,1,5,0,6,N
6,116,Barcelona,H,4,2,3,0,5,N
7,117,Dahomey,H,1,32,14,0,46,N
7,117,Dahomey,L,2,9,3,1,13,N
7,117,Dahomey,H,3,8,7,0,15,N
7,117,Dahomey,L,4,0,2,0,2,N
7,118,Dahomey,H,1,1,1,0,2,Y
7,118,Dahomey,L,2,0,0,0,0,Y
7,118,Dahomey,H,3,0,0,0,0,Y
7,118,Dahomey,L,4,0,0,0,0,Y
7,119,Dahomey,H,1,21,21,0,42,N
7,119,Dahomey,L,2,20,18,0,38,N
7,119,Dahomey,H,3,24,28,3,55,N
7,119,Dahomey,L,4,28,37,1,66,N
7,120,Dahomey,L,1,18,30,0,48,N
7,120,Dahomey,H,2,7,5,0,12,Y
7,120,Dahomey,L,3,0,0,0,0,Y
7,120,Dahomey,H,4,0,0,0,0,Y
7,121,Dahomey,L,1,22,14,0,36,N
7,121,Dahomey,H,2,11,24,0,35,N
7,121,Dahomey,L,3,25,9,0,34,N
7,121,Dahomey,H,4,7,6,0,13,N
7,122,Dahomey,L,1,20,22,0,42,N
7,122,Dahomey,H,2,9,29,0,38,N
7,122,Dahomey,L,3,16,21,0,37,N
7,122,Dahomey,H,4,23,10,0,33,N
7,123,Sweden,H,1,21,24,0,45,N
7,123,Sweden,L,2,17,14,0,31,N
7,123,Sweden,H,3,19,19,0,38,N
7,123,Sweden,L,4,16,11,0,27,N
7,124,Sweden,H,1,24,24,0,48,N
7,124,Sweden,L,2,27,29,0,56,N
7,124,Sweden,H,3,11,13,0,24,N
7,124,Sweden,L,4,6,3,0,9,N
7,125,Sweden,H,1,23,18,1,42,N
7,125,Sweden,L,2,17,15,0,32,N
7,125,Sweden,H,3,31,21,0,52,N
7,125,Sweden,L,4,17,17,0,34,N
7,126,Sweden,L,1,22,32,0,54,N
7,126,Sweden,H,2,14,10,0,24,N
7,126,Sweden,L,3,14,16,0,30,N
7,126,Sweden,H,4,17,16,0,33,N
7,127,Sweden,L,1,15,23,0,38,N
7,127,Sweden,H,2,14,19,0,33,N
7,127,Sweden,L,3,7,2,0,9,N
7,127,Sweden,H,4,16,21,0,37,N
7,128,Sweden,L,1,26,16,0,42,N
7,128,Sweden,H,2,23,24,0,47,N
7,128,Sweden,L,3,25,18,0,43,N
7,128,Sweden,H,4,24,17,2,43,N
7,129,Israel,H,1,16,25,0,41,N
7,129,Israel,L,2,9,12,0,21,N
7,129,Israel,H,3,10,9,0,19,N
7,129,Israel,L,4,18,18,0,36,N
7,130,Israel,H,1,27,27,2,56,N
7,130,Israel,L,2,16,22,0,38,N
7,130,Israel,H,3,14,16,0,30,N
7,130,Israel,L,4,0,0,0,0,Y
7,131,Israel,H,1,16,23,0,39,N
7,131,Israel,L,2,0,0,0,0,N
7,131,Israel,H,3,0,0,0,0,Y
7,131,Israel,L,4,0,0,0,0,Y
7,132,Israel,L,1,8,17,0,25,N
7,132,Israel,H,2,12,15,0,27,N
7,132,Israel,L,3,1,1,0,2,Y
7,132,Israel,H,4,0,0,0,0,Y
7,133,Israel,L,1,19,13,0,32,N
7,133,Israel,H,2,13,17,0,30,N
7,133,Israel,L,3,16,14,0,30,N
7,133,Israel,H,4,12,19,0,31,N
7,134,Israel,L,1,14,22,0,36,N
7,134,Israel,H,2,10,8,0,18,N
7,134,Israel,L,3,15,18,0,33,N
7,134,Israel,H,4,11,18,0,29,N
7,135,Brownsville,H,1,28,25,1,54,N
7,135,Brownsville,L,2,24,25,0,49,N
7,135,Brownsville,H,3,19,16,1,36,N
7,135,Brownsville,L,4,0,0,0,0,N
7,136,Brownsville,H,1,19,17,0,36,N
7,136,Brownsville,L,2,23,21,0,44,N
7,136,Brownsville,H,3,21,9,0,30,N
7,136,Brownsville,L,4,12,13,0,25,N
7,137,Brownsville,H,1,28,27,0,55,N
7,137,Brownsville,L,2,15,30,0,45,N
7,137,Brownsville,H,3,19,13,0,32,N
7,137,Brownsville,L,4,0,0,0,0,N
7,138,Brownsville,L,1,15,19,0,34,N
7,138,Brownsville,H,2,13,10,0,23,N
7,138,Brownsville,L,3,15,11,0,26,N
7,138,Brownsville,H,4,10,7,2,19,Y
7,139,Barcelona,H,1,12,17,0,29,N
7,139,Barcelona,L,2,12,11,0,23,N
7,139,Barcelona,H,3,10,11,0,21,N
7,139,Barcelona,L,4,5,8,0,13,N
7,140,Barcelona,H,1,7,14,0,21,N
7,140,Barcelona,L,2,15,17,0,32,N
7,140,Barcelona,H,3,8,10,0,18,N
7,140,Barcelona,L,4,14,11,0,25,N
7,141,Barcelona,H,1,20,30,0,50,N
7,141,Barcelona,L,2,20,20,0,40,N
7,141,Barcelona,H,3,19,30,0,49,N
7,141,Barcelona,L,4,3,4,0,7,N
7,142,Barcelona,L,1,20,17,0,37,N
7,142,Barcelona,H,2,11,10,0,21,N
7,142,Barcelona,L,3,1,2,0,3,N
7,142,Barcelona,H,4,0,0,0,0,Y
7,143,Barcelona,L,1,12,17,0,29,N
7,143,Barcelona,H,2,7,12,0,19,N
7,143,Barcelona,L,3,2,11,0,13,N
7,143,Barcelona,H,4,5,3,0,8,N
7,144,Barcelona,L,1,21,21,2,44,N
7,144,Barcelona,H,2,15,12,0,27,N
7,144,Barcelona,L,3,3,10,0,13,N
7,144,Barcelona,H,4,6,10,0,16,N
8,145,Dahomey,H,1,40,28,0,68,N
8,145,Dahomey,L,2,19,19,0,38,N
8,145,Dahomey,H,3,8,12,0,20,N
8,145,Dahomey,L,4,0,0,0,0,N
8,146,Dahomey,H,1,26,25,0,51,N
8,146,Dahomey,L,2,11,12,0,23,N
8,146,Dahomey,H,3,28,32,1,61,N
8,146,Dahomey,L,4,16,22,0,38,N
8,147,Dahomey,L,1,27,27,0,54,N
8,147,Dahomey,H,2,13,11,0,24,N
8,147,Dahomey,L,3,4,1,0,5,N
8,147,Dahomey,H,4,6,9,0,15,N
8,148,Dahomey,L,1,27,21,0,48,N
