Block,Female,Haplotype,Male exposure,Vial,Female offspring,Male offspring,Other,Total offspring,Mortality
3,42,Sweden,H,4,NA,NA,NA,NA,NA
3,43,Sweden,L,1,9,27,2,38,N
3,43,Sweden,H,2,18,14,0,32,N
3,43,Sweden,L,3,21,17,0,38,N
3,43,Sweden,H,4,16,18,0,34,N
3,44,Sweden,L,1,9,14,1,24,N
3,44,Sweden,H,2,15,14,2,31,N
3,44,Sweden,L,3,13,23,0,36,N
3,44,Sweden,H,4,7,9,2,18,N
3,45,Sweden,L,1,18,10,0,28,N
3,45,Sweden,H,2,11,16,0,27,N
3,45,Sweden,L,3,18,21,0,39,N
3,45,Sweden,H,4,18,9,0,27,N
3,46,Sweden,H,1,16,10,0,26,N
3,46,Sweden,L,2,13,17,1,31,N
3,46,Sweden,H,3,21,15,0,36,N
3,46,Sweden,L,4,17,14,2,33,N
3,47,Sweden,H,1,8,8,11,27,N
3,47,Sweden,L,2,16,17,0,33,N
3,47,Sweden,H,3,21,8,1,30,N
3,47,Sweden,L,4,13,9,1,23,N
3,48,Sweden,H,1,23,10,0,33,N
3,48,Sweden,L,2,12,16,0,28,N
3,48,Sweden,H,3,15,13,0,28,N
3,48,Sweden,L,4,14,13,0,27,N
3,49,Sweden,H,1,15,15,2,32,N
3,49,Sweden,L,2,22,26,4,52,N
3,49,Sweden,H,3,18,17,0,35,N
3,49,Sweden,L,4,25,16,0,41,N
3,50,Sweden,H,1,5,4,5,14,N
3,50,Sweden,L,2,9,7,0,16,N
3,50,Sweden,H,3,10,9,0,19,N
3,50,Sweden,L,4,11,8,2,21,N
3,51,Israel,L,1,18,23,1,42,N
3,51,Israel,H,2,20,13,0,33,N
3,51,Israel,L,3,17,13,0,30,N
3,51,Israel,H,4,4,9,1,14,N
3,52,Israel,L,1,26,15,0,41,N
3,52,Israel,H,2,19,17,0,36,N
3,52,Israel,L,3,18,17,0,35,N
3,52,Israel,H,4,9,15,0,24,N
3,53,Israel,L,1,18,16,0,34,N
3,53,Israel,H,2,15,14,0,29,N
3,53,Israel,L,3,15,18,0,33,N
3,53,Israel,H,4,8,8,0,16,N
3,54,Israel,L,1,15,11,0,26,N
3,54,Israel,H,2,15,8,1,24,N
3,54,Israel,L,3,4,7,0,11,N
3,54,Israel,H,4,5,7,0,12,N
3,55,Israel,L,1,22,16,0,38,N
3,55,Israel,H,2,15,25,0,40,N
3,55,Israel,L,3,29,22,1,52,N
3,55,Israel,H,4,13,16,0,29,N
3,56,Israel,H,1,20,15,2,37,N
3,56,Israel,L,2,30,12,2,44,N
3,56,Israel,H,3,18,15,1,34,N
3,56,Israel,L,4,22,22,0,44,N
3,57,Israel,H,1,11,10,1,22,N
3,57,Israel,L,2,19,11,0,30,N
3,57,Israel,H,3,12,10,1,23,N
3,57,Israel,L,4,11,7,0,18,N
3,58,Israel,H,1,3,7,5,15,N
3,58,Israel,L,2,13,10,0,23,N
3,58,Israel,H,3,12,7,0,19,N
3,58,Israel,L,4,8,7,3,18,N
3,59,Israel,H,1,12,11,2,25,N
3,59,Israel,L,2,13,11,0,24,N
3,59,Israel,H,3,7,8,0,15,N
3,59,Israel,L,4,12,8,0,20,N
3,60,Israel,H,1,11,17,2,30,N
3,60,Israel,L,2,8,11,0,19,N
3,60,Israel,H,3,12,12,0,24,N
3,60,Israel,L,4,8,10,0,18,N
3,61,Brownsville,L,1,16,12,0,28,N
3,61,Brownsville,H,2,15,15,0,30,N
3,61,Brownsville,L,3,8,14,3,25,N
3,61,Brownsville,H,4,10,14,0,24,N
3,62,Brownsville,L,1,12,14,1,27,N
3,62,Brownsville,H,2,15,20,1,36,N
3,62,Brownsville,L,3,18,13,1,32,N
3,62,Brownsville,H,4,4,6,0,10,N
3,63,Brownsville,L,1,10,14,3,27,N
3,63,Brownsville,H,2,18,9,1,28,N
3,63,Brownsville,L,3,8,9,1,18,N
3,63,Brownsville,H,4,5,8,0,13,N
3,64,Brownsville,L,1,5,1,0,6,N
3,64,Brownsville,H,2,0,2,0,2,Y
3,64,Brownsville,L,3,0,0,0,0,Y
3,64,Brownsville,H,4,0,0,0,0,Y
3,65,Brownsville,L,1,12,13,2,27,N
3,65,Brownsville,H,2,12,12,0,24,N
3,65,Brownsville,L,3,17,16,0,33,N
3,65,Brownsville,H,4,0,0,0,0,N
3,66,Brownsville,H,1,3,1,1,5,N
3,66,Brownsville,L,2,3,3,0,6,N
3,66,Brownsville,H,3,3,1,0,4,N
3,66,Brownsville,L,4,0,0,0,0,N
3,67,Brownsville,H,1,21,20,0,41,N
3,67,Brownsville,L,2,17,28,1,46,N
3,67,Brownsville,H,3,14,16,1,31,N
3,67,Brownsville,L,4,14,17,0,31,N
3,68,Brownsville,H,1,16,18,1,35,N
3,68,Brownsville,L,2,23,23,1,47,N
3,68,Brownsville,H,3,17,8,0,25,N
3,68,Brownsville,L,4,9,12,1,22,N
3,69,Brownsville,H,1,10,7,0,17,N
3,69,Brownsville,L,2,9,10,1,20,N
3,69,Brownsville,H,3,8,15,0,23,N
3,69,Brownsville,L,4,16,16,0,32,N
3,70,Brownsville,H,1,12,7,1,20,N
3,70,Brownsville,L,2,NA,NA,NA,NA,NA
3,70,Brownsville,H,3,NA,NA,NA,NA,NA
3,70,Brownsville,L,4,NA,NA,NA,NA,NA
3,71,Barcelona,L,1,3,7,1,11,Y
3,71,Barcelona,H,2,0,0,0,0,N
3,71,Barcelona,L,3,0,0,0,0,N
3,71,Barcelona,H,4,0,0,0,0,N
3,72,Barcelona,L,1,14,17,0,31,N
3,72,Barcelona,H,2,14,17,0,31,N
3,72,Barcelona,L,3,13,24,1,38,N
3,72,Barcelona,H,4,8,13,0,21,N
3,73,Barcelona,L,1,5,1,5,11,N
3,73,Barcelona,H,2,5,4,0,9,N
3,73,Barcelona,L,3,0,0,0,0,N
3,73,Barcelona,H,4,0,0,0,0,N
3,74,Barcelona,L,1,19,15,0,34,N
3,74,Barcelona,H,2,12,17,1,30,N
3,74,Barcelona,L,3,23,17,0,40,N
3,74,Barcelona,H,4,18,23,0,41,N
3,75,Barcelona,L,1,25,22,0,47,N
3,75,Barcelona,H,2,19,14,0,33,N
3,75,Barcelona,L,3,8,13,0,21,N
3,75,Barcelona,H,4,2,1,0,3,N
3,76,Barcelona,H,1,14,14,3,31,N
3,76,Barcelona,L,2,13,15,2,30,N
3,76,Barcelona,H,3,12,3,4,19,N
3,76,Barcelona,L,4,9,9,1,19,N
